id,title,descrption,price
1079,Thalia,py,987.89
1080,Pierette,yI,570.08
1081,Amelia,dH,836.49
1082,Rochette,EM,427.3
1083,Maisey,LM,978.56
1084,Rivalee,rk,11.09
1085,Joelly,zb,228.78
1086,Roxane,gt,834.48
1087,Heddie,wm,972.67
1088,Modestia,wi,679.1
1089,Karina,Dr,98.63
1090,Damaris,fc,639.7
1091,Clary,sN,229.25
1092,Caressa," W",862.02
1093,Florie,KD,877.53
1094,Evaleen,zf,192.64
1095,Bettine,QS,632.02
1096,Tomasina,Vz,959.21
1097,Shaine,"s ",99.27
1098,Tressa,LR,682.96
1099,Heida,Az,512.62
